update,env_steps,policy_loss,value_loss,entropy,clip_fraction,recent_avg_return,recent_severe_miss_rate,recent_false_warning_rate,recent_avg_warning_step_on_severe,recent_avg_watch_step_on_potential,recent_safety_score,validation_avg_return,validation_severe_miss_rate,validation_false_warning_rate,validation_avg_warning_step_on_severe,validation_avg_watch_step_on_potential,validation_safety_score,device,artifact_prefix
11,2816,-0.004078549914993346,1882.5980243682861,0.7726917900145054,0.0166015625,-7.394999451637268,0.0,0.30303030303030304,4.925925925925926,3.2,-22.54651460315242,,,,,,,cpu,ppo_lstm_seed77
12,3072,-0.006467930972576141,2276.505931854248,0.6767634376883507,0.0751953125,-6.734999752044677,0.0,0.2631578947368421,5.0,2.8857142857142857,-19.892894488886782,,,,,,,cpu,ppo_lstm_seed77
13,3328,-0.00033895717933773994,1066.6338348388672,0.6086918488144875,0.0234375,-7.384999871253967,0.0,0.23684210526315788,5.037037037037037,3.4,-19.22710513441186,,,,,,,cpu,ppo_lstm_seed77
14,3584,0.01439269189722836,603.776050567627,0.7080911137163639,0.0732421875,-3.129999866485596,0.0,0.16216216216216217,5.444444444444445,3.75,-11.238107974593705,,,,,,,cpu,ppo_lstm_seed77
15,3840,0.009145221207290888,1947.448818206787,0.8338535204529762,0.076171875,-7.584999589920044,0.0,0.22857142857142856,5.666666666666667,3.7804878048780486,-19.013571018491472,,,,,,,cpu,ppo_lstm_seed77
16,4096,0.0021458144765347242,3852.7665271759033,0.765723429620266,0.001953125,-7.00999980211258,0.037037037037037035,0.21212121212121213,6.0,3.975,-28.727171519284294,,,,,,,cpu,ppo_lstm_seed77
17,4352,-0.006956877186894417,1483.5951137542725,0.7656031250953674,0.0185546875,-7.374999697208405,0.041666666666666664,0.1875,6.217391304347826,4.159090909090909,-29.249999697208406,,,,,,,cpu,ppo_lstm_seed77
18,4608,-0.001584197161719203,5876.7116413116455,0.685113038867712,0.1357421875,-18.75500010728836,0.13636363636363635,0.21212121212121213,6.578947368421052,4.266666666666667,-70.27015162243987,,,,,,,cpu,ppo_lstm_seed77
19,4864,-0.0017153634689748287,4160.48860168457,0.6360077224671841,0.0146484375,-22.39000025510788,0.17391304347826086,0.23529411764705882,6.368421052631579,4.395348837209302,-86.32861918093907,,,,,,,cpu,ppo_lstm_seed77
20,5120,-0.002357056364417076,3430.8225059509277,0.6198139227926731,0.013671875,-21.820000324249268,0.16666666666666666,0.1891891891891892,6.45,4.487179487179487,-81.27945978370872,,,,,,,cpu,ppo_lstm_seed77
21,5376,-0.004126026527956128,703.1643838882446,0.6711088009178638,0.0078125,-18.855000381469726,0.18181818181818182,0.1388888888888889,6.277777777777778,4.926829268292683,-80.34489937136871,,,,,,,cpu,ppo_lstm_seed77
22,5632,-0.004151421599090099,4359.647613525391,0.645549725741148,0.01953125,-19.84000036239624,0.18518518518518517,0.15625,6.5,4.769230769230769,-83.20805591795178,,,,,,,cpu,ppo_lstm_seed77
23,5888,-0.006865090224891901,8042.362241744995,0.6402371898293495,0.01953125,-23.93000027179718,0.2,0.16129032258064516,6.666666666666667,5.108108108108108,-91.99451640082944,,,,,,,cpu,ppo_lstm_seed77
24,6144,-0.011065353639423847,2106.894335746765,0.5456702765077353,0.0185546875,-20.91500005722046,0.19230769230769232,0.13513513513513514,6.9523809523809526,4.685714285714286,-85.36406450628492,,,,,,,cpu,ppo_lstm_seed77
25,6400,7.035117596387863e-05,905.1924285888672,0.5787733420729637,0.02734375,-20.83999976158142,0.20833333333333334,0.14285714285714285,7.2105263157894735,4.615384615384615,-90.48285690443856,,,,,,,cpu,ppo_lstm_seed77
26,6656,0.0024585823994129896,3124.7163829803467,0.5726622715592384,0.00390625,-18.634999804496765,0.21739130434782608,0.10526315789473684,7.222222222222222,4.2631578947368425,-89.11554900358142,,,,,,,cpu,ppo_lstm_seed77
27,6912,0.005595078822807409,934.6986970901489,0.5820574276149273,0.0595703125,-12.260000085830688,0.19047619047619047,0.07692307692307693,7.294117647058823,4.425,-73.24901107484166,,,,,,,cpu,ppo_lstm_seed77
