update,env_steps,policy_loss,value_loss,entropy,clip_fraction,recent_avg_return,recent_severe_miss_rate,recent_false_warning_rate,recent_avg_warning_step_on_severe,recent_avg_watch_step_on_potential,recent_safety_score,validation_avg_return,validation_severe_miss_rate,validation_false_warning_rate,validation_avg_warning_step_on_severe,validation_avg_watch_step_on_potential,validation_safety_score,device,artifact_prefix,curriculum_stage,normalize_observations
47,147627,-0.00023665878688916564,1040.73228597641,0.11643617949448526,0.007655802630324615,23.994999713897705,0.15789473684210525,0.0,5.0,3.5294117647058822,-23.37342133873387,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
48,150768,0.0044723620667355135,1696.0392482280731,0.11460587126202881,0.012983524895389564,21.509999599456787,0.17391304347826086,0.0,4.578947368421052,4.2075471698113205,-30.66391344402147,18.737500000000004,0.16666666666666666,0.0,3.8,4.6521739130434785,-31.262499999999996,cuda,ppo_lstm_seed99,potential_added,1
49,153909,-0.005885117512661964,814.0257346630096,0.10974823008291423,0.018400788598228246,23.19999975204468,0.1875,0.0,4.153846153846154,4.218181818181818,-33.050000247955325,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
50,157050,0.0018274127796757966,1222.735198020935,0.11245734128169715,0.021266118361381814,27.28000008583069,0.08695652173913043,0.0,5.0,4.041666666666667,1.1930435640915604,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
51,160191,0.006424058097763918,1212.3335690498352,0.11861000582575798,0.006626074769883417,30.264999990463256,0.0625,0.0,4.733333333333333,3.9655172413793105,11.514999990463256,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
52,163332,0.0013569876900874078,908.1100101470947,0.13165113027207553,0.006402220926247537,23.254999656677246,0.17647058823529413,0.0,4.5,3.8181818181818183,-29.686176813910993,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
53,166473,-0.00773699570709141,1559.1334931850433,0.1450796362478286,0.021848138349014334,29.389999923706053,0.1,0.0,5.055555555555555,3.7288135593220337,-0.6100000762939466,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
54,169614,0.007032598109617538,284.65884041786194,0.11776927369646728,0.008775071997661144,35.88000021934509,0.0,0.0,4.555555555555555,3.8771929824561404,35.88000021934509,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
55,172755,-0.0042831866594497114,1244.075389623642,0.1503955686930567,0.028966692021640483,20.99499977260828,0.18181818181818182,0.0,4.944444444444445,3.5961538461538463,-33.550454772846265,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
56,175896,-0.012910089833894745,668.4036507606506,0.15365916932933033,0.010610673729388509,32.60500028014183,0.05263157894736842,0.0,4.888888888888889,3.7413793103448274,16.815526595931303,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
57,179037,-0.0066929014865309,616.5920391082764,0.14046482928097248,0.013565544952143682,35.28000035762787,0.03571428571428571,0.0,4.62962962962963,3.9375,24.565714643342154,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
58,182178,-0.015553155972156674,448.52906107902527,0.13267488009296358,0.020907952217385173,27.784999985694885,0.10526315789473684,0.0,4.470588235294118,3.767857142857143,-3.7939473827261665,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
59,185319,0.006260944501264021,156.89415502548218,0.10847886884585023,0.005775430050562136,36.360000352859494,0.0,0.0,4.8,3.4038461538461537,36.360000352859494,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
60,188460,0.00819678936386481,308.8128161430359,0.10136160021647811,0.00993911220211885,36.55000032424927,0.0,0.0,4.684210526315789,3.5555555555555554,36.55000032424927,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
61,191601,0.002652488023159094,181.0540201663971,0.11136796092614532,0.013476003521645907,31.850000171661378,0.0,0.0,4.5,3.6166666666666667,31.850000171661378,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
62,194742,0.00019088847329840064,414.54123854637146,0.08563390048220754,0.007163324084103806,33.47000029563904,0.07692307692307693,0.0,4.333333333333333,4.038461538461538,10.393077218715963,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
63,197883,-0.0029153389486964443,145.3790111541748,0.08716887538321316,0.006402220908057643,31.045000047683715,0.0,0.0,4.714285714285714,4.428571428571429,31.045000047683715,,,,,,,cuda,ppo_lstm_seed99,potential_added,1
64,201024,0.00048479601537110284,273.15643668174744,0.08656828291714191,0.004387535991554614,35.70500030517578,0.0,0.0,4.666666666666667,4.163636363636364,35.70500030517578,25.104687500000004,0.0,0.0,4.0,4.521739130434782,25.104687500000004,cuda,ppo_lstm_seed99,potential_added,1
65,204165,0.002542272090067854,317.8868510723114,0.07853900839108974,0.004387536006106529,37.22500050544739,0.0,0.0,4.7272727272727275,3.9130434782608696,37.22500050544739,,,,,,,cuda,ppo_lstm_seed99,full,1
66,207306,0.015429636856424622,288.8552989959717,0.0863350301515311,0.01240150482772151,36.95000047683716,0.0,0.0,4.391304347826087,3.5454545454545454,36.95000047683716,,,,,,,cuda,ppo_lstm_seed99,full,1
67,210447,0.005650285689625889,563.1459398269653,0.10215495969168842,0.00425322366936598,35.14000029563904,0.0,0.0,4.695652173913044,3.8,35.14000029563904,,,,,,,cuda,ppo_lstm_seed99,full,1
68,213588,-0.007886781822890043,640.1804480552673,0.09552555973641574,0.0064469916906091385,34.7750003528595,0.034482758620689655,0.0,4.714285714285714,4.325,24.430172766652603,,,,,,,cuda,ppo_lstm_seed99,full,1
69,216729,-0.0018746089190244675,354.2110893726349,0.09715608833357692,0.009625716804293916,33.91000034332276,0.038461538461538464,0.0,4.48,4.0,22.371538804861217,,,,,,,cuda,ppo_lstm_seed99,full,1
70,219870,-0.006774302979465574,295.92756152153015,0.08663744921796024,0.015848854476644192,32.72000034332275,0.038461538461538464,0.0,5.12,3.9523809523809526,21.181538804861212,,,,,,,cuda,ppo_lstm_seed99,full,1
71,223011,0.006832409359049052,152.0211296081543,0.09031616500578821,0.00514863918942865,37.69500047683716,0.0,0.0,4.52,3.8048780487804876,37.69500047683716,,,,,,,cuda,ppo_lstm_seed99,full,1
72,226152,0.004239332745783031,356.0024471282959,0.09524393663741648,0.008148281176545424,37.43500036239624,0.03571428571428571,0.0,5.0,3.9615384615384617,26.720714648110523,,,,,,,cuda,ppo_lstm_seed99,full,1
73,229293,-0.004019682157377247,643.6559262275696,0.10339276283048093,0.018535101058660075,29.835000190734863,0.05,0.0,4.894736842105263,3.8333333333333335,14.835000190734863,,,,,,,cuda,ppo_lstm_seed99,full,1
74,232434,0.0006145277875475585,153.9747657775879,0.08561965613625944,0.008237822814407991,34.37500024795532,0.0,0.0,4.473684210526316,4.282608695652174,34.37500024795532,,,,,,,cuda,ppo_lstm_seed99,full,1
75,235575,0.005538010242162272,166.7962818145752,0.09578920854255557,0.006267908585869009,35.39500051498413,0.0,0.0,4.739130434782608,3.3076923076923075,35.39500051498413,,,,,,,cuda,ppo_lstm_seed99,full,1
76,238716,7.609277963638306e-05,145.35707116127014,0.09407568164169788,0.006715616353176301,39.64500036239624,0.0,0.0,4.566666666666666,4.136363636363637,39.64500036239624,,,,,,,cuda,ppo_lstm_seed99,full,1
77,241857,-0.00238676843673602,155.00791549682617,0.091312414733693,0.006849928613519296,36.14000033378601,0.0,0.0,4.5,3.9347826086956523,36.14000033378601,,,,,,,cuda,ppo_lstm_seed99,full,1
78,244998,0.0026168157419306226,152.05770587921143,0.09066265192814171,0.0053724930476164445,40.34000061035156,0.0,0.0,4.678571428571429,3.9130434782608696,40.34000061035156,,,,,,,cuda,ppo_lstm_seed99,full,1
79,248139,0.0056301517761312425,150.22295117378235,0.0930924603017047,0.008372135045647155,38.76500057697296,0.0,0.0,4.538461538461538,4.184210526315789,38.76500057697296,,,,,,,cuda,ppo_lstm_seed99,full,1
80,251280,0.0017367496620863676,352.8461091518402,0.08693723799660802,0.002328080325241899,36.2350004863739,0.0,0.0,4.761904761904762,3.488888888888889,36.2350004863739,24.768750000000004,0.0,0.0,4.0,4.782608695652174,24.768750000000004,cuda,ppo_lstm_seed99,full,1
81,254421,0.012056802661390975,146.86372208595276,0.09868279099464417,0.0016565186924708541,37.150000429153444,0.0,0.0,4.409090909090909,4.044444444444444,37.150000429153444,,,,,,,cuda,ppo_lstm_seed99,full,1
82,257562,0.011594485316891223,339.8672823905945,0.0839728678110987,0.007655802633962594,37.19000045180321,0.0,0.0,4.9523809523809526,3.6122448979591835,37.19000045180321,,,,,,,cuda,ppo_lstm_seed99,full,1
83,260703,0.01335608380031772,180.99741506576538,0.11062449682503939,0.030085961174336262,38.670000720024106,0.0,0.0,4.875,4.025,38.670000720024106,,,,,,,cuda,ppo_lstm_seed99,full,1
84,263844,-0.0020630377111956477,161.66870069503784,0.10235058073885739,0.004521848342847079,32.44500032901764,0.0,0.0,5.0,4.138888888888889,32.44500032901764,,,,,,,cuda,ppo_lstm_seed99,full,1
85,266985,-0.0007147723372327164,357.0042345523834,0.10056090750731528,0.00586497157564736,35.0850004529953,0.03571428571428571,0.0,4.703703703703703,3.891891891891892,24.370714738709587,,,,,,,cuda,ppo_lstm_seed99,full,1
86,270126,-0.0009036313931574114,142.87636137008667,0.09478033659979701,0.008013968847080832,36.39000045776367,0.0,0.0,5.043478260869565,3.840909090909091,36.39000045776367,,,,,,,cuda,ppo_lstm_seed99,full,1
87,273267,0.0036605456261895597,149.19990038871765,0.0983223516959697,0.01522206366644241,38.4000006198883,0.0,0.0,4.62962962962963,4.177777777777778,38.4000006198883,,,,,,,cuda,ppo_lstm_seed99,full,1
88,276408,0.002022241591475904,142.97474074363708,0.0996865953784436,0.00590974234364694,37.47500049591064,0.0,0.0,4.666666666666667,3.869565217391304,37.47500049591064,,,,,,,cuda,ppo_lstm_seed99,full,1
